Number,Permit #,Permit Type Description,Permit Subtype Description,Parcel,Date Entered,Date,Date Issued,ConstructionCost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,IVR Tracking,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y
236,T2021063527,Building Commercial - Rehab,"Personal Care Svcs,  Fitness Studio",104060B20100CO,10/4/2021 5:00:00 AM,10/4/2021,,0,3314 WEST END AVE 201,NASHVILLE,TN,UNIT 201 WEST END PARK 1ST AMEND,LENNY BUNDY,CACR,CAF18B011,4044989,demise existing vacant space to use as fitness center for residence only  POC LENNY BUNDY,24,-86.81930394,36.14050047,236,37203,-9664680.706,4319971.282
237,T2021063593,Building Sign Permit,Sign - Ground /  Wall Signs,9306202600,10/4/2021 5:00:00 AM,10/4/2021,,8000,308 BROADWAY,NASHVILLE,TN,PT LOT 45 ORIGINAL TOWN OF NASHVILLE,AAA SIGN ME UP LLC,CASN,CAZ02A001,4045109,to erect 56SF projecting sign for casa rosa tex mex cantina.  Plans Review stamped plans attached in Cityworks. TO COMPLY WITH 2018 IBC AND 2017 NEC.,19,-86.7765098,36.16150051,237,37201,-9659916.884,4322866.408
238,T2021063597,Building Sign Permit,Sign - Ground /  Wall Signs,16100010000,10/4/2021 5:00:00 AM,10/4/2021,,2500,5814 NOLENSVILLE PIKE,NASHVILLE,TN,LOT 2 THE TRACE,AAA SIGN ME UP LLC,CASN,CAZ02A001,4045115,to erect 30Sf illuminated wall sign for Hunts barber academy. not to exceed 15% of façade.,31,-86.71281466,36.0438884,238,37211,-9652826.373,4306662.03
239,T2021063650,Building Demolition Permit,Demolition Permit - Residential,10304031600,10/4/2021 5:00:00 AM,10/4/2021,,7000,4006 UTAH AVE,NASHVILLE,TN,LOT 2 WEST END ANNEX RESUB. LOT 103,Native Construction,CADM,CAZ01A001,4045235,"TO DEMOLISH EXISTING RESIDENCE.  NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT TO SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION.     ***PURSUANT TO ORDINANCE NO. 2006-1263 OF THE METROPOLITAN CODE OF LAWS, I (THE HOLDER ON THIS PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL.   FURTHER, I CERTIFY THAT NO CONSTRUCTION AND DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF THE METROPOLITAN CODE***",24,-86.83329511,36.1443047,239,37209,-9666238.196,4320495.686
240,T2021063687,Building Residential - Addition,Single Family Residence,13115001200,10/4/2021 5:00:00 AM,10/4/2021,,0,4709 BELMONT PARK TER,NASHVILLE,TN,LOT 7 SEC 5 HARPETH ACRES,GEBHARDT CONSTRUCTION CO LLC,CARA,CAA01R301,4045287,Rejected: Permit application requires site plan depicting proposed addition and existing residence with dimensions and setbacks labeled.    construction of renovations and 340 sq ft extensions to the existing house.,34,-86.80826805,36.08596466,240,37215,-9663452.196,4312456.433
241,T2021063691,Building Commercial - Rehab,Restaurant (Fast Food),2615000100,10/4/2021 5:00:00 AM,10/4/2021,,30000,2151 GALLATIN PIKE N,MADISON,TN,LOTS 2&2-A RIVERGATE MARKETPLACE REV LOT 2,HARRY HARRIS,CACR,CAF30A203,4045300,"No Use & Occupancy on this permit.  Comm PUD requires planning review/approval.  Add a drive-thru window for a possible future tenant in vacant 10,161 SF space which was formerly a Ryan's restaurant.    Only the drive-thru window work is under this permit. Any additional infromation shown on the architectural sheets are either existing conditions or will be submitted under a separate permit, as noted on the plans when a tenant has been selected.     The attached civil drawings are provided for information and reference only.  They received preliminary approval from Metro Planning (letter attached).  The final civil construction drawings will be complete  d and submitted when a tenant has been selected.  POC HARRY HARRIS",10,-86.68970108,36.3036458,241,37115,-9650253.381,4342483.407
242,T2021063819,Building Demolition Permit,Demolition Permit - Residential,10613005200,10/4/2021 5:00:00 AM,10/4/2021,,6500,2027 ROSEMARY LN,NASHVILLE,TN,LOT 54 SEC 1 WOODYCREST,"BATES, DANIEL ELI",CADM,CAZ01A001,4045477,"TO DEMOLISH EXISTING RESIDENCE.  NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT TO SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION.     ***PURSUANT TO ORDINANCE NO. 2006-1263 OF THE METROPOLITAN CODE OF LAWS, I (THE HOLDER ON THIS PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL.   FURTHER, I CERTIFY THAT NO CONSTRUCTION AND DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF THE METROPOLITAN CODE***",17,-86.75046121,36.1279987,242,37210,-9657017.168,4318248.119
243,T2021063820,Building Demolition Permit,Demolition Permit - Residential,14406003100,10/4/2021 5:00:00 AM,10/4/2021,,6500,1112 CHICKERING PARK DR,NASHVILLE,TN,LOT 5 SEC 2 CHICKERING PARK,"BATES, DANIEL ELI",CADM,CAZ01A001,4045478,To demolish structure or structures to finished grade.,34,-86.8534344,36.07206868,243,37215,-9668480.091,4310542.448
244,T2021063892,Building Use & Occupancy,Master Permit Application,13306000500,10/5/2021 5:00:00 AM,10/5/2021,,1,200 RAYMOND ST,NASHVILLE,TN,LOT 200 SEC 1 SUNRISE HGTS,HUFFINE FIRST SERVICE,CAUO,CAZ03A001,4045591,MASTER PERMIT ONLY… … NO CONSTRUCTION… …RESIDENTIAL MULTI-FAMILY… …7 SINGLE FAMILY RESIDENTIAL UNITS… …NEWTOWN INFILL HOMES... ...MUST COMPLY WITH SPECIFIC PLAN MPC CASE NO. 2020SP-046-002... ...,16,-86.73977355,36.09851806,244,37211,-9655827.423,4314185.786
245,T2021063893,Building Residential - New,"Accessory Structure, Garage",041060A04600CO,10/5/2021 5:00:00 AM,10/5/2021,,34969,1729 B EXECUTIVE WAY,NASHVILLE,TN,LOT 24A LIBERTY PLACE SUBDIVISION AMENDMENT OF OPEN SPACE,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARN,CAA14U009,4045593,"To install a new 24' x 30', 720 SF garage. Maximum height 1-story or 16', whichever is less. Minimum side setback 5'. Must conform to easements on parcel. POC: James Kirk, 615-601-9706. Applicant applied for a self-permit and will act as his/her own general contractor with full responsibility for code compliance, for hiring and employing individuals and subcontractors, and with ultimate responsibility for his/her own work and for the work of others. Acting as his/her general contractor, applicant may forfeit certain protections which might be available to him/her through the State of Tennessee general contractor’s licensing process. Applicant, as a self-build permit holder, is further responsible for requesting all required inspections and completing all authorized work in compliance with applicable adopted codes. Separate permits are required for any electrical, plumbing and gas/mechanical work and are not part of the building permit. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",3,-86.77221513,36.27182656,245,37207,-9659438.803,4338089.039
246,T2021063927,Building Commercial - Rehab,"General Office, Professional Services",9500010800,10/5/2021 5:00:00 AM,10/5/2021,,0,555 MARRIOTT DR 400,NASHVILLE,TN,LOT 2 HIGHLAND RIDGE SEC 2,DANIELLE WATKINS,CACR,CAD02B016,4045637,"This project is an interior finish-out, with minor construction, for CGM-CMA in an existing building (555  Marriott Drive, Nashville, TN) on the 4th Floor. Scope of work for the entire space is 5,426 sf. There is no  site plan available.  POC DANIELLE WATKINS, 615-726-1141.",15,-86.68934096,36.14822853,246,37214,-9650213.293,4321036.604
247,T2021063962,Building Commercial - Rehab,"General Office, Professional Services",9500010800,10/5/2021 5:00:00 AM,10/5/2021,,0,555 MARRIOTT DR 800,NASHVILLE,TN,LOT 2 HIGHLAND RIDGE SEC 2,DANIELLE WATKINS,CACR,CAD02B016,4045687,"This project is an interior full floor renovation/finish-out, with minor construction, for CGM-CMA in an existing  building (555 Marriott Drive, Nashville, TN) on the 8th Floor. Scope of work for the entire space is 12,990  sf. There is no site plan available.  POC DANIELLE WATKINS",15,-86.68942007,36.14802836,247,37214,-9650222.099,4321009.009
248,T2021064050,Building Commercial - New,Mobile Food Vendors,9213006600,10/5/2021 5:00:00 AM,10/5/2021,,0,3501 CHARLOTTE AVE,NASHVILLE,TN,"LOTS 1 2 PT LOT 3 BLOCK 2, CHARLOTTE PARK 2ND ADDN",ahmad kassem,CACN,CAZ04A001,4045813,to place 7x13 mobile food trailer on site for musicville lounge.,24,-86.82625518,36.15261846,248,37209,-9665454.514,4321641.809
249,T2021064072,Building Demolition Permit,Demolition Permit - Residential,9401008800,10/5/2021 5:00:00 AM,10/5/2021,,10000,605 S 13TH ST,NASHVILLE,TN,LOT 97 PAYNE BLAKEMORE & CUMMINGS ADDN,MUSIC CITY BUILDERS,CADM,CAZ01A001,4045838,Rejected: Incorrect permit type. Go to new application CARR-T2021064167.	    Demo interior of existing structure and minor exterior demolition to prepare for siding repair.,6,-86.74806307,36.16878635,249,37206,-9656750.208,4323871.037
250,T2021064099,Building Residential - New,Single Family Residence,070093C00200CO,10/5/2021 5:00:00 AM,10/5/2021,,198349,2301 ALPINE AVE,NASHVILLE,TN,UNIT B THIRTYTWOHUNDRED CURTIS STREET,HBG CONSTRUCTION LLC,CARN,CAA01R301,4045873,"TO CONSTRUCT REAR UNIT OF PROPOSED HORIZONTAL PROPERTY LINE REGIME DUPLEX WITH 1624 SQFT OF LIVING AREA… …24 SQFT PORCH/DECK AREA… …UNITS DETACHED… …FRONT UNIT EXISTING... ...70.2’ MIN FRONT SETBACK… …5’ MIN SIDE SETBACK… …10’ MIN STREET/SIDE SETBACK… …20’ MIN REAR SETBACK… …MAX BLDG HEIGHT 28’ FEET… …6’ MINIMUM DISTANCE BETWEEN UNITS… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …    *** FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY… …     ***FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED… …",2,-86.82863646,36.19966289,250,37218,-9665719.597,4328129.571
251,T2021064093,Building Residential - Addition,"Accessory Structure, Garage",7301001900,10/5/2021 5:00:00 AM,10/5/2021,,0,1929 B RIVERWOOD DR,NASHVILLE,TN,LOT 23 BLK G COUNTRY CLUB ESTATES,Stratton Exteriors,CARA,CAA14U009,4045864,REJECTED: INCORRECT PERMIT APPLICATION TYPE. GO TO NEW PERMIT APPLICATION CARN-T2021064175	.,7,-86.7111601,36.21103595,251,37216,-9652642.188,4329698.583
252,T2021064161,Building Residential - Rehab,Single Family Residence,14504001500,10/5/2021 5:00:00 AM,10/5/2021,,9000,1024 TYNE BLVD,NASHVILLE,TN,LOT 8 1ST ADDN LEALAND MANOR,Hastings Management,CARR,CAA01R301,4045954,REJECTED: LOCATED IN CITY OF OAK HILL. WILL NEED TO OBTAIN BUILDING PERMIT FROM CITY OF OAK HILL.    Frame interior walls and reconfigure hallway for new interior wine cellar room. No structural changes. Needing electrical and hvac permits open,25,-86.79440204,36.08079859,252,37220,-9661908.639,4311744.837
253,T2021064175,Building Residential - New,"Accessory Structure, Garage",7301001900,10/5/2021 5:00:00 AM,10/5/2021,,27821,1929 B RIVERWOOD DR,NASHVILLE,TN,LOT 23 BLK G COUNTRY CLUB ESTATES,STRATTON EXTERIORS INC,CARN,CAA14U009,4045970,TO CONSTRUCT 24’X24’ DETACHED GARAGE TO REAR OF EXISTING SINGLE FAMILY RESIDENCE… …TO INCLUDE DEMOLITION OF EXISTING GARAGE AND SHED... ...3’ MINIMUM SIDE SETBACK… …3’ MINIMUM REAR SETBACK… …16’ MAXIMUM HEIGHT TO PEAK… …NOT TO BE USED AS LIVING SPACE OR FOR COMMERCIAL PURPOSES… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …RESTRICTIVE COVENANT REQUIRED FOR ANY TRADE PERMITS.,7,-86.7111601,36.21103595,253,37216,-9652642.188,4329698.583
254,T2021064191,Building Residential - Rehab,Single Family Residence,059150A11900CO,10/5/2021 5:00:00 AM,10/5/2021,,0,2845 STOKERS LN N,NASHVILLE,TN,LOT 87 CHATEAU VALLEY PH 5,Respen Builders INC.,CARR,CAA01R301,4045983,"REJECTED: INCORRECT PERMIT APPLICATION TYPE. NEW APPLICATION CREATED. SEE CARN-T2021064247	    Existing house had fire damage, the entire house including all walls, flooring, insulation, roof, and all debris has be removed from the property (demoed). The existing foundation  had no damage  therefore the existing foundation will remain.   there will be a complete rehab on top of the existing foundation. Plans will be attached. New Hvac system, new plumbing, new electrical, new insulation , new drywall, new roof, new heater, new furnace. 4 bedroom, 3 baths, Bonus Room.",2,-86.81486272,36.21211817,254,37207,-9664186.311,4329847.896
255,T2021064280,Building Residential - New,Detached Accessory Dwelling Unit,8309046200,10/6/2021 5:00:00 AM,10/6/2021,,110898,109 B LINDSLEY PARK DR,NASHVILLE,TN,PT LOT 10 LINDSLEY PARK,Groves Homes Inc.,CARN,CAA11R301,4046085,PERMIT TO CONSTRUCT 898 SQFT DETACHED ACCESSORY DWELLING UNIT (DADU) TO REAR OF EXISTING RESIDENCE… …LOCATED IN NEIGHBORHOOD CONSERVATION OVERLAY (OV-NHC) MUST COMPLY WITH HISTORIC COMMISION PERMIT HCP-2021056658 AND DETACHED ACCESSORY DWELLING REQUIREMENTS 17.16.030(G) (1-10) … …    ****RESTICTIVE COVENANT MUST BE RECORDED PRIOR TO ISSUANCE OF ANY TRADE PERMITS****,6,-86.74269996,36.1764254,255,37206,-9656153.19,4324924.469
256,T2021064273,Building Tree Removal Permit,Tree Removal Permit,14900031300,10/6/2021 5:00:00 AM,10/6/2021,,10,0 HAMILTON CROSSINGS,ANTIOCH,TN,PT LOT 6 HAMILTON CROSSINGS BUSINESS PARK,MOODY EXCAVATING LLC,CATR,CATREE,4046099,,32,-86.63333517,36.06071636,256,37013,-9643978.757,4308979.069
257,T2021064295,Building Use & Occupancy,Master Permit Application,8600010100,10/6/2021 5:00:00 AM,10/6/2021,,1,1160 TULIP GROVE RD,HERMITAGE,TN,W SIDE TULIP GROVE RD N OF CENTRAL PK,haley bass,CAUO,CAZ03A001,4046131,"master permit for 44 units, 6 townhomes and 38 detached units.  no construction this permit  must combine parcels 86-0-101 & 86-0-264",12,-86.59505271,36.17770496,257,37076,-9639717.173,4325100.931
258,T2021064456,Building Residential - Rehab,"Multifamily, Apt / Twnhome > 5 Unit Bldg",14711013600,10/6/2021 5:00:00 AM,10/6/2021,,76347,600 WHISPERING HILLS DR,NASHVILLE,TN,E/S OF WHISPERING HILLS DRIVE N/S OF LEEANNE DRIVE,Cornerstone Renovation,CARR,CAA03R399,4046389,INCORRECT PERMIT TYPE. GO TO PERMIT APPLICATION CACJ-T2021064491 TO CONTINUE APPLICATION.	      I believe this permit should be a CACR Building Commercial Rehab but I did not see it listed in the permit list. This will be a complete interior rehab for this fire unit at Audubon Park. Please call me if you have any questions. Ronnie Brawley 615-605-6553,26,-86.7297636,36.06943964,258,37211,-9654713.121,4310180.371
259,T2021064466,Building Residential - Addition,Single Family Residence,081083T00100CO,10/6/2021 5:00:00 AM,10/6/2021,,0,1813 A DELTA AVE,NASHVILLE,TN,UNIT 1813A DELTA AVENUE QUARTERS,Johnston Property Services,CARA,CAA01R301,4046418,REJECTED: APPLICANT MUST PROVIDE CONSTRUCTION PLANS AND ELEVATION DRAWINGS. REQUIRE SITE PLAN AT LEGIBLE SCALE OUTLINING PROPOSED CONSTRUCTION.    extending roof attachment off of stairway structure on roof to cover decking material,21,-86.80115339,36.18225735,259,37208,-9662660.196,4325728.769
260,T2021064491,Building Commercial - Fire Damage,"Multifamily, Apt / Twnhome > 5 Unit Bldg",14711013600,10/7/2021 5:00:00 AM,10/7/2021,,74947,600 WHISPERING HILLS DR,NASHVILLE,TN,E/S OF WHISPERING HILLS DRIVE N/S OF LEEANNE DRIVE,Cornerstone Renovation,CACJ,CAA03R399,4046453,To conduct interior rehab to unit N-02 of Audubon Park due to fire damage.      POC: Ronnie Brawley 615-605-6553,26,-86.7297636,36.06943964,260,37211,-9654713.121,4310180.371
261,T2021064565,Building Commercial - Rehab,"Warehouse, Storage S-1",9310035200,10/7/2021 5:00:00 AM,10/7/2021,,0,412 LEA AVE,NASHVILLE,TN,LOT 34 BARROW GROVE,NASHBAGS LLC,CACR,CAH10S001,4046585,"USE & OCCUPANCY ONLY... ...NO CONSTRUCTION PER APPLICANT... ...FOR NASHBAGS, LLC... ...WAREHOUSE WITH 1,000 SQFT RETAIL AREA. MUST COMPLY WITH DTC... ...    POC: KILEY SCOTT 202-494-6217",19,-86.77390336,36.15448648,261,37203,-9659626.736,4321899.348
262,T2021064654,Building Residential - Rehab,Single Family Residence,072164A00200CO,10/7/2021 5:00:00 AM,10/7/2021,,0,2206 B SHERIDAN RD,NASHVILLE,TN,UNIT B HOMES AT 2206 SHERIDAN ROAD,"FUTRAL, NATHANIEL & MALORI",CARR,CAA01R301,4046750,"TO CONDUCT INTERIOR RENOVATIONS TO EXISTING SINGLE-FAMILY RESIDENCE… …NO CHANGE TO BUILDING/ROOF LINES OR FOOTPRINT… …NO SECOND KITCHEN, TO REMAIN SINGLE FAMILY RESIDENCE… …",6,-86.71415424,36.19275089,262,37206,-9652975.495,4327176.113
